Date,State,Disease,Disease_Count
11-09-2019,Telangana,FEVER IN INFANTS,1
11-09-2019,Telangana,Hyper sexuality,1
11-09-2019,Telangana,RECURRING ABDOMINAL PAIN,1
11-09-2019,Telangana,NUMBNESS OR TINGLING,1
11-09-2019,Telangana,NECK PAIN,1
12-09-2019,Telangana,Fever,11
12-09-2019,Telangana,Ear Pain or Pressure,3
12-09-2019,Telangana,Belching/ Growling Stomach/ Gas,2
12-09-2019,Telangana,DIARRHEA,2
12-09-2019,Telangana,DIARRHEA IN INFANTS,2
12-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,2
12-09-2019,Telangana,FEVER IN INFANTS,1
12-09-2019,Telangana,DIARRHEA IN CHILDREN,1
12-09-2019,Telangana,Chronic headache,1
12-09-2019,Telangana,BACK PAIN,1
13-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,44
13-09-2019,Telangana,Fever,34
13-09-2019,Telangana,Rash,21
13-09-2019,Telangana,Belching/ Growling Stomach/ Gas,19
13-09-2019,Telangana,Chronic headache,14
13-09-2019,Telangana,HAIR LOSS,13
13-09-2019,Telangana,SCALING DISORDERS OF SKIN,9
13-09-2019,Telangana,CONSTIPATION,8
13-09-2019,Telangana,BACK PAIN,8
13-09-2019,Telangana,Cough,7
13-09-2019,Telangana,Chest pain,6
13-09-2019,Telangana,continuous abdominal pain/upset Problems,5
13-09-2019,Telangana,DIZZINESS,4
13-09-2019,Telangana,Eye pain or problem with eyelid,4
13-09-2019,Telangana,continuous abdominal cramp Problems,4
13-09-2019,Telangana,CONSTIPATION IN INFANTS AND CHILDREN,4
13-09-2019,Telangana,Stomach ache,4
13-09-2019,Telangana,sexual problem,3
13-09-2019,Telangana,sexual problem,3
13-09-2019,Telangana,PAIN IN THE ANKLES OR FEET,3
13-09-2019,Telangana,DIARRHEA,3
13-09-2019,Telangana,DIARRHEA IN CHILDREN,3
13-09-2019,Telangana,RECURRING ABDOMINAL PAIN,3
13-09-2019,Telangana,SEVERE OR SUDDEN ABDOMINAL PAIN,3
13-09-2019,Telangana,SORE THROAT,3
13-09-2019,Telangana,Tooth Pain,3
13-09-2019,Telangana,Belching,2
13-09-2019,Telangana,Nail Problems,2
13-09-2019,Telangana,PAINFUL OR FREQUENT URINATION,2
13-09-2019,Telangana,FEVER IN CHILDREN,2
13-09-2019,Telangana,Knee Pain,2
13-09-2019,Telangana,MISSED OR IRREGULAR PERIODS,2
13-09-2019,Telangana,continuous abdominal Problem,2
13-09-2019,Telangana,premature ejaculation,2
13-09-2019,Telangana,ULCERS OF SKIN,2
13-09-2019,Telangana,VAGINAL DISCHARGE ITCHING OR IRRITATION,2
13-09-2019,Telangana,UNEXPLAINED WEIGHT LOSS,1
13-09-2019,Telangana,sexual dysfunction,1
13-09-2019,Telangana,other,1
13-09-2019,Telangana,masturbation,1
13-09-2019,Telangana,ejaculation,1
13-09-2019,Telangana,depression,1
13-09-2019,Telangana,Stomach Problem,1
13-09-2019,Telangana,RINGING IN THE EARS,1
13-09-2019,Telangana,Discharge from the eye,1
13-09-2019,Telangana,DEPRESSION,1
13-09-2019,Telangana,Drowsiness,1
13-09-2019,Telangana,Ear Pain or Pressure,1
13-09-2019,Telangana,PAIN IN THE WRISTS OR HANDS,1
13-09-2019,Telangana,NECK PAIN,1
13-09-2019,Telangana,Hip Pain,1
13-09-2019,Telangana,FEVER IN INFANTS,1
14-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,40
14-09-2019,Telangana,Rash,32
14-09-2019,Telangana,Chronic headache,20
14-09-2019,Telangana,Belching/ Growling Stomach/ Gas,19
14-09-2019,Telangana,Fever,16
14-09-2019,Telangana,sexual problem,10
14-09-2019,Telangana,CONSTIPATION,10
14-09-2019,Telangana,DIARRHEA,7
14-09-2019,Telangana,HAIR LOSS,7
14-09-2019,Telangana,continuous abdominal pain/upset Problems,7
14-09-2019,Telangana,Cough,6
14-09-2019,Telangana,PAINFUL OR FREQUENT URINATION,6
14-09-2019,Telangana,continuous abdominal cramp Problems,5
14-09-2019,Telangana,BACK PAIN,5
14-09-2019,Telangana,Tooth Pain,4
14-09-2019,Telangana,DIZZINESS,4
14-09-2019,Telangana,DIARRHEA IN CHILDREN,3
14-09-2019,Telangana,Discharge from the eye,3
14-09-2019,Telangana,Ear Pain or Pressure,3
14-09-2019,Telangana,PAIN IN THE WRISTS OR HANDS,3
14-09-2019,Telangana,SORE THROAT,3
14-09-2019,Telangana,Sexual prblm,3
14-09-2019,Telangana,Nail Problems,2
14-09-2019,Telangana,NECK PAIN,2
14-09-2019,Telangana,NAUSEA OR VOMITING,2
14-09-2019,Telangana,MISSED OR IRREGULAR PERIODS,2
14-09-2019,Telangana,PAINFUL MENSTRUAL CRAMPS,2
14-09-2019,Telangana,RECURRING ABDOMINAL PAIN,2
14-09-2019,Telangana,Knee Pain,2
14-09-2019,Telangana,Chest pain,2
14-09-2019,Telangana,Eye pain or problem with eyelid,2
14-09-2019,Telangana,FEVER IN CHILDREN,2
14-09-2019,Telangana,nightfall problem,2
14-09-2019,Telangana,VOMITING IN INFANTS,2
14-09-2019,Telangana,Unexplained weight gain,2
14-09-2019,Telangana,CONSTIPATION IN INFANTS AND CHILDREN,2
14-09-2019,Telangana,Stomach ache,2
14-09-2019,Telangana,NUMBNESS OR TINGLING,1
14-09-2019,Telangana,RASH IN INFANTS AND CHILDREN,1
14-09-2019,Telangana,PAIN IN THE ANKLES OR FEET,1
14-09-2019,Telangana,Other,1
14-09-2019,Telangana,Nocturnal emmision,1
14-09-2019,Telangana,Hip Pain,1
14-09-2019,Telangana,SCALING DISORDERS OF SKIN,1
14-09-2019,Telangana,VAGINAL DISCHARGE ITCHING OR IRRITATION,1
14-09-2019,Telangana,UNEXPLAINED WEIGHT LOSS,1
14-09-2019,Telangana,Drowsiness,1
14-09-2019,Telangana,DIFFICULTY PASSING URINE,1
14-09-2019,Telangana,Continuous Stomach pain,1
14-09-2019,Telangana,COUGHING IN INFANTS AND CHILDREN,1
14-09-2019,Telangana,COUGHING IN CHILDREN,1
14-09-2019,Telangana,Bleeding after Menopause,1
14-09-2019,Telangana,Belching,1
14-09-2019,Telangana,pre marital sexual problem,1
14-09-2019,Telangana,penis size issuse,1
14-09-2019,Telangana,continuous abdominal Problem,1
15-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,40
15-09-2019,Telangana,Rash,20
15-09-2019,Telangana,Fever,16
15-09-2019,Telangana,Chronic headache,10
15-09-2019,Telangana,Belching/ Growling Stomach/ Gas,10
15-09-2019,Telangana,HAIR LOSS,9
15-09-2019,Telangana,MISSED OR IRREGULAR PERIODS,7
15-09-2019,Telangana,SCALING DISORDERS OF SKIN,7
15-09-2019,Telangana,Cough,6
15-09-2019,Telangana,BACK PAIN,6
15-09-2019,Telangana,DIZZINESS,6
15-09-2019,Telangana,UNEXPLAINED WEIGHT LOSS,5
15-09-2019,Telangana,CONSTIPATION,5
15-09-2019,Telangana,FEVER IN CHILDREN,5
15-09-2019,Telangana,night fall,4
15-09-2019,Telangana,DIARRHEA,4
15-09-2019,Telangana,SORE THROAT,4
15-09-2019,Telangana,continuous abdominal pain/upset Problems,4
15-09-2019,Telangana,NAUSEA OR VOMITING,4
15-09-2019,Telangana,sexual problem,3
15-09-2019,Telangana,Chest pain,3
15-09-2019,Telangana,DIARRHEA IN CHILDREN,3
15-09-2019,Telangana,Tooth Pain,3
15-09-2019,Telangana,PAINFUL OR FREQUENT URINATION,3
15-09-2019,Telangana,RECURRING ABDOMINAL PAIN,3
15-09-2019,Telangana,DIFFICULTY PASSING URINE,2
15-09-2019,Telangana,Discharge from the eye,2
15-09-2019,Telangana,FEVER IN INFANTS,2
15-09-2019,Telangana,NECK PAIN,2
15-09-2019,Telangana,PAIN IN THE ANKLES OR FEET,2
15-09-2019,Telangana,SEVERE OR SUDDEN ABDOMINAL PAIN,2
15-09-2019,Telangana,continuous abdominal cramp Problems,2
15-09-2019,Telangana,BLEEDING BETWEEN MENSTRUAL PERIODS,2
15-09-2019,Telangana,Vision Loss or Impairment,1
15-09-2019,Telangana,VOMITING IN INFANTS,1
15-09-2019,Telangana,"VAGINAL SORES, LUMPS OR PAIN",1
15-09-2019,Telangana,VAGINAL DISCHARGE ITCHING OR IRRITATION,1
15-09-2019,Telangana,BLOOD IN THE URINE,1
15-09-2019,Telangana,Belching,1
15-09-2019,Telangana,COUGHING IN INFANTS AND CHILDREN,1
15-09-2019,Telangana,Eye pain or problem with eyelid,1
15-09-2019,Telangana,Unexplained weight gain,1
15-09-2019,Telangana,SHORTNESS OF BREATH,1
15-09-2019,Telangana,PAINFUL MENSTRUAL CRAMPS,1
15-09-2019,Telangana,PAIN IN THE WRISTS OR HANDS,1
16-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,63
16-09-2019,Telangana,Rash,16
16-09-2019,Telangana,Fever,10
16-09-2019,Telangana,Belching/ Growling Stomach/ Gas,9
16-09-2019,Telangana,Chronic headache,8
16-09-2019,Telangana,BACK PAIN,7
16-09-2019,Telangana,CONSTIPATION,7
16-09-2019,Telangana,SCALING DISORDERS OF SKIN,7
16-09-2019,Telangana,Tooth Pain,6
16-09-2019,Telangana,DIARRHEA,6
16-09-2019,Telangana,FEVER IN CHILDREN,5
16-09-2019,Telangana,HAIR LOSS,5
16-09-2019,Telangana,continuous abdominal pain/upset Problems,5
16-09-2019,Telangana,DIZZINESS,4
16-09-2019,Telangana,Cough,3
16-09-2019,Telangana,Knee Pain,3
16-09-2019,Telangana,Sexual prblm,3
16-09-2019,Telangana,SEVERE OR SUDDEN ABDOMINAL PAIN,3
16-09-2019,Telangana,sexual problem,3
16-09-2019,Telangana,SHORTNESS OF BREATH,2
16-09-2019,Telangana,SORE THROAT,2
16-09-2019,Telangana,Unexplained weight gain,2
16-09-2019,Telangana,RECURRING ABDOMINAL PAIN,2
16-09-2019,Telangana,PAINFUL OR FREQUENT URINATION,2
16-09-2019,Telangana,HEAVY MENSTRUAL PERIODS,2
16-09-2019,Telangana,NUMBNESS OR TINGLING,2
16-09-2019,Telangana,masturbation,2
16-09-2019,Telangana,FEVER IN INFANTS,2
16-09-2019,Telangana,COUGHING IN CHILDREN,2
16-09-2019,Telangana,DIARRHEA IN CHILDREN,2
16-09-2019,Telangana,Discharge from the eye,2
16-09-2019,Telangana,CRYING IN INFANTS,1
16-09-2019,Telangana,COUGHING IN INFANTS AND CHILDREN,1
16-09-2019,Telangana,Addiction prblm,1
16-09-2019,Telangana,Stomach ache,1
16-09-2019,Telangana,Eye pain or problem with eyelid,1
16-09-2019,Telangana,Ear Pain In Children,1
16-09-2019,Telangana,premature ejaculation,1
16-09-2019,Telangana,other sexual,1
16-09-2019,Telangana,other problem,1
16-09-2019,Telangana,NECK PAIN,1
16-09-2019,Telangana,SCROTAL PAIN,1
16-09-2019,Telangana,RASH IN INFANTS AND CHILDREN,1
16-09-2019,Telangana,PAIN IN THE WRISTS OR HANDS,1
16-09-2019,Telangana,PAIN IN THE ANKLES OR FEET,1
16-09-2019,Telangana,NAUSEA OR VOMITING,1
16-09-2019,Telangana,night fall,1
16-09-2019,Telangana,GUIDELINES TO SEX EDUCATION FOR THE MARRIED.,1
16-09-2019,Telangana,Stomach pain,1
16-09-2019,Telangana,ULCERS OF SKIN,1
16-09-2019,Telangana,UNEXPLAINED WEIGHT LOSS,1
16-09-2019,Telangana,dc by caller,1
16-09-2019,Telangana,caffein addiction,1
16-09-2019,Telangana,anorexia,1
16-09-2019,Telangana,VOMITING IN INFANTS,1
16-09-2019,Telangana,VAGINAL DISCHARGE ITCHING OR IRRITATION,1
17-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,48
17-09-2019,Telangana,Rash,27
17-09-2019,Telangana,Fever,23
17-09-2019,Telangana,Chronic headache,15
17-09-2019,Telangana,SCALING DISORDERS OF SKIN,12
17-09-2019,Telangana,Belching/ Growling Stomach/ Gas,7
17-09-2019,Telangana,continuous abdominal pain/upset Problems,6
17-09-2019,Telangana,Cough,6
17-09-2019,Telangana,MISSED OR IRREGULAR PERIODS,5
17-09-2019,Telangana,Stomach ache,5
17-09-2019,Telangana,BACK PAIN,5
17-09-2019,Telangana,HAIR LOSS,5
17-09-2019,Telangana,sexual problem,4
17-09-2019,Telangana,Chest pain,4
17-09-2019,Telangana,UNEXPLAINED WEIGHT LOSS,3
17-09-2019,Telangana,FEVER IN CHILDREN,3
17-09-2019,Telangana,SEVERE OR SUDDEN ABDOMINAL PAIN,3
17-09-2019,Telangana,RECURRING ABDOMINAL PAIN,3
17-09-2019,Telangana,RASH IN INFANTS AND CHILDREN,3
17-09-2019,Telangana,DIZZINESS,3
17-09-2019,Telangana,CONSTIPATION,3
17-09-2019,Telangana,DIARRHEA,2
17-09-2019,Telangana,PAINFUL OR FREQUENT URINATION,2
17-09-2019,Telangana,PAIN IN THE WRISTS OR HANDS,2
17-09-2019,Telangana,Tooth Pain,2
17-09-2019,Telangana,"VAGINAL SORES, LUMPS OR PAIN",2
17-09-2019,Telangana,NUMBNESS OR TINGLING,2
17-09-2019,Telangana,Ear Pain or Pressure,2
17-09-2019,Telangana,NECK PAIN,2
17-09-2019,Telangana,Conitive prblm,1
17-09-2019,Telangana,COUGHING IN CHILDREN,1
17-09-2019,Telangana,Belching,1
17-09-2019,Telangana,FEVER IN INFANTS,1
17-09-2019,Telangana,Eye pain or problem with eyelid,1
17-09-2019,Telangana,Ear Pain In Children,1
17-09-2019,Telangana,EAR PAIN IN INFANTS,1
17-09-2019,Telangana,Discharge from the eye,1
17-09-2019,Telangana,HEAVY MENSTRUAL PERIODS,1
17-09-2019,Telangana,Knee Pain,1
17-09-2019,Telangana,VAGINAL DISCHARGE ITCHING OR IRRITATION,1
17-09-2019,Telangana,Sexual prblm,1
17-09-2019,Telangana,SHOULDER PAIN,1
17-09-2019,Telangana,PAINFUL MENSTRUAL CRAMPS,1
17-09-2019,Telangana,PAIN IN THE ANKLES OR FEET,1
17-09-2019,Telangana,Nail Problems,1
17-09-2019,Telangana,continuous abdominal cramp Problems,1
17-09-2019,Telangana,relationship problem,1
17-09-2019,Telangana,post marital,1
17-09-2019,Telangana,nocturnal problem,1
17-09-2019,Telangana,night fall,1
17-09-2019,Telangana,masturbation,1
18-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,37
18-09-2019,Telangana,Rash,22
18-09-2019,Telangana,Fever,18
18-09-2019,Telangana,HAIR LOSS,11
18-09-2019,Telangana,Chronic headache,11
18-09-2019,Telangana,SCALING DISORDERS OF SKIN,9
18-09-2019,Telangana,Belching/ Growling Stomach/ Gas,9
18-09-2019,Telangana,DIZZINESS,8
18-09-2019,Telangana,continuous abdominal cramp Problems,6
18-09-2019,Telangana,BACK PAIN,6
18-09-2019,Telangana,sexual problem,5
18-09-2019,Telangana,FEVER IN CHILDREN,4
18-09-2019,Telangana,Cough,4
18-09-2019,Telangana,Eye pain or problem with eyelid,4
18-09-2019,Telangana,CONSTIPATION,4
18-09-2019,Telangana,SORE THROAT,4
18-09-2019,Telangana,PAINFUL OR FREQUENT URINATION,3
18-09-2019,Telangana,continuous abdominal pain/upset Problems,3
18-09-2019,Telangana,Tooth Pain,3
18-09-2019,Telangana,UNEXPLAINED WEIGHT LOSS,3
18-09-2019,Telangana,MISSED OR IRREGULAR PERIODS,3
18-09-2019,Telangana,RINGING IN THE EARS,2
18-09-2019,Telangana,ULCERS OF SKIN,2
18-09-2019,Telangana,VAGINAL DISCHARGE ITCHING OR IRRITATION,2
18-09-2019,Telangana,NECK PAIN,2
18-09-2019,Telangana,DIARRHEA,2
18-09-2019,Telangana,Drowsiness,2
18-09-2019,Telangana,Ear Pain In Children,2
18-09-2019,Telangana,FEVER IN INFANTS,2
18-09-2019,Telangana,Chest pain,2
18-09-2019,Telangana,nocturnal emissions,1
18-09-2019,Telangana,premature  ejaculation,1
18-09-2019,Telangana,pain disorder,1
18-09-2019,Telangana,insomnia,1
18-09-2019,Telangana,Unexplained weight gain,1
18-09-2019,Telangana,Sexual prblm,1
18-09-2019,Telangana,SEVERE OR SUDDEN ABDOMINAL PAIN,1
18-09-2019,Telangana,RECURRING ABDOMINAL PAIN,1
18-09-2019,Telangana,RASH IN INFANTS AND CHILDREN,1
18-09-2019,Telangana,Knee Pain,1
18-09-2019,Telangana,Discharge from the eye,1
18-09-2019,Telangana,Ear Pain or Pressure,1
18-09-2019,Telangana,PAIN IN THE ANKLES OR FEET,1
18-09-2019,Telangana,Nail Problems,1
18-09-2019,Telangana,NUMBNESS OR TINGLING,1
18-09-2019,Telangana,NAUSEA OR VOMITING,1
18-09-2019,Telangana,DIFFICULTY PASSING URINE,1
18-09-2019,Telangana,DIARRHEA IN INFANTS,1
18-09-2019,Telangana,Continuous Stomach pain,1
18-09-2019,Telangana,CRYING IN INFANTS,1
18-09-2019,Telangana,CONSTIPATION IN INFANTS AND CHILDREN,1
18-09-2019,Telangana,BLEEDING BETWEEN MENSTRUAL PERIODS,1
18-09-2019,Telangana,ANXIETY,1
19-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,47
19-09-2019,Telangana,Chronic headache,21
19-09-2019,Telangana,Fever,17
19-09-2019,Telangana,SCALING DISORDERS OF SKIN,13
19-09-2019,Telangana,HAIR LOSS,13
19-09-2019,Telangana,Rash,9
19-09-2019,Telangana,Belching/ Growling Stomach/ Gas,9
19-09-2019,Telangana,FEVER IN CHILDREN,8
19-09-2019,Telangana,continuous abdominal pain/upset Problems,7
19-09-2019,Telangana,DIZZINESS,7
19-09-2019,Telangana,DIARRHEA,6
19-09-2019,Telangana,BACK PAIN,5
19-09-2019,Telangana,SORE THROAT,5
19-09-2019,Telangana,sexual problem,4
19-09-2019,Telangana,Cough,4
19-09-2019,Telangana,UNEXPLAINED WEIGHT LOSS,3
19-09-2019,Telangana,RECURRING ABDOMINAL PAIN,3
19-09-2019,Telangana,continuous abdominal cramp Problems,3
19-09-2019,Telangana,Eye pain or problem with eyelid,2
19-09-2019,Telangana,Discharge from the eye,2
19-09-2019,Telangana,Ear Pain or Pressure,2
19-09-2019,Telangana,Chest pain,2
19-09-2019,Telangana,CONSTIPATION IN INFANTS AND CHILDREN,2
19-09-2019,Telangana,Stomach ache,2
19-09-2019,Telangana,NAUSEA OR VOMITING,2
19-09-2019,Telangana,MISSED OR IRREGULAR PERIODS,2
19-09-2019,Telangana,PAIN IN THE ANKLES OR FEET,2
19-09-2019,Telangana,SEVERE OR SUDDEN ABDOMINAL PAIN,2
19-09-2019,Telangana,PAINFUL OR FREQUENT URINATION,2
19-09-2019,Telangana,masturbation problem,2
19-09-2019,Telangana,other,2
19-09-2019,Telangana,sexual problem,2
19-09-2019,Telangana,VAGINAL DISCHARGE ITCHING OR IRRITATION,2
19-09-2019,Telangana,Mastrubation,1
19-09-2019,Telangana,Knee Pain,1
19-09-2019,Telangana,Hearing Loss,1
19-09-2019,Telangana,nocturnal problem,1
19-09-2019,Telangana,nightfall problem,1
19-09-2019,Telangana,masturbation,1
19-09-2019,Telangana,depression,1
19-09-2019,Telangana,continuous stomach pain/upset Problems,1
19-09-2019,Telangana,VOMITING IN INFANTS,1
19-09-2019,Telangana,Tooth Pain,1
19-09-2019,Telangana,SHOULDER PAIN,1
19-09-2019,Telangana,SHORTNESS OF BREATH,1
19-09-2019,Telangana,ANXIETY,1
19-09-2019,Telangana,Breast Lump,1
19-09-2019,Telangana,HEAVY MENSTRUAL PERIODS,1
19-09-2019,Telangana,FEVER IN INFANTS,1
19-09-2019,Telangana,Ear Pain In Children,1
19-09-2019,Telangana,Drowsiness,1
19-09-2019,Telangana,DIFFICULTY PASSING URINE,1
19-09-2019,Telangana,DIARRHEA IN CHILDREN,1
19-09-2019,Telangana,CONSTIPATION,1
20-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,53
20-09-2019,Telangana,Belching/ Growling Stomach/ Gas,14
20-09-2019,Telangana,Fever,14
20-09-2019,Telangana,Rash,12
20-09-2019,Telangana,DIARRHEA,10
20-09-2019,Telangana,HAIR LOSS,9
20-09-2019,Telangana,SCALING DISORDERS OF SKIN,9
20-09-2019,Telangana,sexual problem,7
20-09-2019,Telangana,BACK PAIN,7
20-09-2019,Telangana,Sexual prblm,6
20-09-2019,Telangana,UNEXPLAINED WEIGHT LOSS,6
20-09-2019,Telangana,Chronic headache,5
20-09-2019,Telangana,CONSTIPATION,5
20-09-2019,Telangana,FEVER IN CHILDREN,5
20-09-2019,Telangana,Stomach ache,5
20-09-2019,Telangana,Tooth Pain,5
20-09-2019,Telangana,continuous abdominal pain/upset Problems,5
20-09-2019,Telangana,Eye pain or problem with eyelid,4
20-09-2019,Telangana,DIZZINESS,4
20-09-2019,Telangana,sexual problem,3
20-09-2019,Telangana,PAINFUL OR FREQUENT URINATION,3
20-09-2019,Telangana,Knee Pain,3
20-09-2019,Telangana,BLOOD IN THE URINE,3
20-09-2019,Telangana,DIFFICULTY PASSING URINE,2
20-09-2019,Telangana,DIARRHEA IN CHILDREN,2
20-09-2019,Telangana,Chest pain,2
20-09-2019,Telangana,Cough,2
20-09-2019,Telangana,Ear Pain or Pressure,2
20-09-2019,Telangana,SORE THROAT,2
20-09-2019,Telangana,NUMBNESS OR TINGLING,2
20-09-2019,Telangana,VOMITING IN INFANTS,2
20-09-2019,Telangana,PAIN IN THE ANKLES OR FEET,2
20-09-2019,Telangana,BLEEDING BETWEEN MENSTRUAL PERIODS,2
20-09-2019,Telangana,ULCERS OF SKIN,1
20-09-2019,Telangana,SHOULDER PAIN,1
20-09-2019,Telangana,SHORTNESS OF BREATH,1
20-09-2019,Telangana,SEVERE OR SUDDEN ABDOMINAL PAIN,1
20-09-2019,Telangana,SCROTAL PAIN,1
20-09-2019,Telangana,VAGINAL DISCHARGE ITCHING OR IRRITATION,1
20-09-2019,Telangana,Vision Loss or Impairment,1
20-09-2019,Telangana,anxiety disorders,1
20-09-2019,Telangana,pre ejacultion,1
20-09-2019,Telangana,poor concentration,1
20-09-2019,Telangana,other problem,1
20-09-2019,Telangana,other,1
20-09-2019,Telangana,night fall,1
20-09-2019,Telangana,lower concentation,1
20-09-2019,Telangana,continuous abdominal cramp Problems,1
20-09-2019,Telangana,NAUSEA OR VOMITING,1
20-09-2019,Telangana,MISSED OR IRREGULAR PERIODS,1
20-09-2019,Telangana,LOSS OF URINE CONTROL,1
20-09-2019,Telangana,Ear Pain In Children,1
20-09-2019,Telangana,Drowsiness,1
20-09-2019,Telangana,Discharge from the eye,1
20-09-2019,Telangana,Continuous Stomach pain,1
20-09-2019,Telangana,Nail Problems,1
20-09-2019,Telangana,RECURRING ABDOMINAL PAIN,1
20-09-2019,Telangana,PAINFUL MENSTRUAL CRAMPS,1
21-09-2019,Telangana,G.28. SWELLINGS LUMPS BUMPS ON OR UNDER SKIN,54
21-09-2019,Telangana,Fever,16
21-09-2019,Telangana,Chronic headache,14
21-09-2019,Telangana,HAIR LOSS,12
21-09-2019,Telangana,Belching/ Growling Stomach/ Gas,10
21-09-2019,Telangana,Rash,10
21-09-2019,Telangana,continuous abdominal pain/upset Problems,8
21-09-2019,Telangana,Cough,6
21-09-2019,Telangana,Stomach ache,6
21-09-2019,Telangana,MISSED OR IRREGULAR PERIODS,6
21-09-2019,Telangana,continuous abdominal cramp Problems,6
21-09-2019,Telangana,BACK PAIN,5
21-09-2019,Telangana,DIARRHEA,5
21-09-2019,Telangana,Knee Pain,4
21-09-2019,Telangana,Eye pain or problem with eyelid,4
21-09-2019,Telangana,FEVER IN CHILDREN,4
21-09-2019,Telangana,CONSTIPATION,4
21-09-2019,Telangana,Tooth Pain,4
